stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
PB241,,PB241-Parada / Mall Plaza Norte - Los Libertadores,-33.3640607810884,-70.6813493519124,
PB184,,PB184-Los Libertadores / Esq. Av. A. Vespucio,-33.3668314015184,-70.68097565189,
PB185,,PB185-Parada / Pasarela Albany,-33.3660777516853,-70.6857970004004,
PB242,,PB242-Parada 6 / (M) Los Libertadores,-33.366339735398,-70.6896183397335,
PB186,,PB186-Av. Independencia / Esq. H. De Iquique,-33.3691429425543,-70.6886829663555,
PB187,,PB187-Av. Independencia / Esq. H. La Concepción,-33.3715637184741,-70.6877189999396,
PB188,,PB188-Parada 1 / (M) Cardenal Caro,-33.3733848493152,-70.6866856839114,
PB251,,PB251-Av. Independencia / Esq. Trigal,-33.3767543687322,-70.6845528917126,
PB190,,PB190-Av. Independencia / Esq. El Cortijo,-33.378221338379,-70.6839109982666,
PB191,,PB191-Av. Independencia / Esq. Quilicura,-33.3810873058301,-70.6829978353462,
PB1707,,PB1707-Av. Independencia / Esq. El Pino,-33.3829108397857,-70.6819075609822,
PB193,,PB193-Parada 1 / (M) Vivaceta,-33.3856989105895,-70.6796928124103,
PB194,,PB194-Av. Independencia / Esq. Módulo Lunar,-33.3878078782433,-70.6783420004488,
PB195,,PB195-Av. Independencia / Esq. El Olivo,-33.3907379294037,-70.6753029996458,
PB196,,PB196-Av. Independencia / Esq. Teniente Ponce,-33.3932709572678,-70.673612000302,
PB259,,PB259-Av. Independencia / Esq. B. Mandujano,-33.3961389920302,-70.6715719995143,
PB198,,PB198-Parada 1 / (M) Conchalí,-33.3976901519879,-70.6699543656155,
PB1967,,PB1967-Av. Independencia / Esq. Pablo Urzúa,-33.401021562569,-70.6659517980744,
PB1964,,PB1964-Parada 1 / Einstein - Independencia,-33.404129709827,-70.6630924980754,
PB1960,,PB1960-Parada 6 / (M) Pza. Chacabuco,-33.4074456487041,-70.6607268980761,
PB1958,,PB1958-Av. Independencia / Esq. Los Nidos,-33.4102115656897,-70.6596860980763,
PB1957,,PB1957-Av. Independencia / Esq. Central,-33.4128456851102,-70.6584953980766,
PB1955,,PB1955-Av. Independencia / Esq. San Luis,-33.4158659093028,-70.6570093980769,
PB1953,,PB1953-Parada 1 / (M) Hospitales,-33.4179565202081,-70.656335998077,
PB1951,,PB1951-Parada 3 / Hospital Clínico U. De Chile,-33.4209206316209,-70.6556279980771,
PB1950,,PB1950-Av. Independencia / Esq. Dávila Baeza,-33.4257940491756,-70.6545362980771,
PB1948,,PB1948-Av. Independencia / Esq. General Prieto,-33.4296331656137,-70.6535143980772,
PA48,,PA48-Parada 1 / Estación Mapocho,-33.4325869946648,-70.6533393096494,
PA49,,PA49-Parada / Hospital Traumatológico,-33.4343666642582,-70.6587930624487,
PA50,,PA50-Parada 1 / Teatro Teletón,-33.4356627684991,-70.6586044333759,
PA51,,PA51-Parada 3 / (M) Santa Ana,-33.4385805651238,-70.6582450806926,
PA52,,PA52-San Martín / Esq. Moneda,-33.4419741156907,-70.6578083810924,
PA53,,PA53-Parada 1 / (M) La Moneda,-33.4447230157656,-70.6574680589002,
PA30,,PA30-San Ignacio / Esq. Padre M. De Olivares,-33.4488090783555,-70.6568486688148,
PA31,,PA31-Parada / Palacio Cousiño,-33.4514821441449,-70.6563239410074,
PA54,,PA54-Santa Isabel / Esq. Lord Cochrane,-33.4529809708471,-70.6546527345213,
PA55,,PA55-Nataniel Cox / Esq. Av. 10 De Julio,-33.4541461433152,-70.6526326874698,
PA627,,PA627-Nataniel Cox / Esq. Copiapó,-33.4555343049748,-70.6523860003655,
PA56,,PA56-Nataniel Cox / Esq. Aconcagua,-33.4577468863796,-70.6520612768699,
PA57,,PA57-Nataniel Cox / Esq. Av. Manuel A. Matta,-33.4595627077999,-70.6517989977282,
PA58,,PA58-Parada / Colegio Santa Cruz,-33.4637214973659,-70.6511339669759,
PA694,,PA694-Nataniel Cox / Esq. Pedro Lagos,-33.4658913306338,-70.6507990000548,
PA60,,PA60-Nataniel Cox / Esq. Ñuble,-33.4697029870516,-70.6502026857771,
